athleteName,athleteURL,country
Britt Phelan,https://www.olympedia.org/athletes/127426,CAN
Marie Martinod,https://www.olympedia.org/athletes/127740,FRA
Brita Sigourney,https://www.olympedia.org/athletes/128704,USA
Sarah Höfflin,https://www.olympedia.org/athletes/138057,SUI
Izzy Atkin,https://www.olympedia.org/athletes/137217,GBR
David Gleirscher,https://www.olympedia.org/athletes/136735,AUT
Chris Mazdzer,https://www.olympedia.org/athletes/119429,USA
Dajana Eitberger,https://www.olympedia.org/athletes/137315,GER
Alex Gough,https://www.olympedia.org/athletes/109962,CAN
Lukas Klapfer,https://www.olympedia.org/athletes/127372,AUT
Johannes Rydzek,https://www.olympedia.org/athletes/119470,GER
Fabian Rießle,https://www.olympedia.org/athletes/127857,GER
Eric Frenzel,https://www.olympedia.org/athletes/119468,GER
Wu Dajing,https://www.olympedia.org/athletes/127580,CHN
Samuel Girard,https://www.olympedia.org/athletes/136931,CAN
John-Henry Krueger,https://www.olympedia.org/athletes/138385,USA
Seo Lee-Ra,https://www.olympedia.org/athletes/137648,KOR
Im Hyo-Jun,https://www.olympedia.org/athletes/137647,KOR
Sjinkie Knegt,https://www.olympedia.org/athletes/119802,NED
Yara van Kerkhof,https://www.olympedia.org/athletes/128174,NED
Li Jinyu,https://www.olympedia.org/athletes/136982,CHN
Yun Seong-Bin,https://www.olympedia.org/athletes/128095,KOR
Nikita Tregubov,https://www.olympedia.org/athletes/128387,ROC
Dom Parsons,https://www.olympedia.org/athletes/127792,GBR
Lizzy Yarnold,https://www.olympedia.org/athletes/127791,GBR
Laura Deas,https://www.olympedia.org/athletes/137226,GBR
Johann André Forfang,https://www.olympedia.org/athletes/137752,NOR
Kamil Stoch,https://www.olympedia.org/athletes/109725,POL
Andreas Wellinger,https://www.olympedia.org/athletes/127867,GER
Robert Johansson,https://www.olympedia.org/athletes/137753,NOR
Maren Lundby,https://www.olympedia.org/athletes/128223,NOR
Sara Takanashi,https://www.olympedia.org/athletes/128017,JPN
Nevin Galmarini,https://www.olympedia.org/athletes/119605,SUI
Lee Sang-Ho,https://www.olympedia.org/athletes/137631,KOR
Žan Košir,https://www.olympedia.org/athletes/119642,SLO
Red Gerard,https://www.olympedia.org/athletes/138371,USA
Shaun White,https://www.olympedia.org/athletes/109860,USA
Pierre Vaultier,https://www.olympedia.org/athletes/110455,FRA
Jarryd Hughes,https://www.olympedia.org/athletes/127316,AUS
Regino Hernández,https://www.olympedia.org/athletes/119614,ESP
Sébastien Toutant,https://www.olympedia.org/athletes/127533,CAN
Kyle Mack,https://www.olympedia.org/athletes/138374,USA
Billy Morgan,https://www.olympedia.org/athletes/127796,GBR
Selina Jörg,https://www.olympedia.org/athletes/119627,GER
Ramona Hofmeister,https://www.olympedia.org/athletes/137330,GER
Laurie Blouin,https://www.olympedia.org/athletes/136905,CAN
Enni Rukajärvi,https://www.olympedia.org/athletes/127701,FIN
Liu Jiayu,https://www.olympedia.org/athletes/119592,CHN
Arielle Gold,https://www.olympedia.org/athletes/138428,USA
Julia Pereira,https://www.olympedia.org/athletes/137197,FRA
Jamie Anderson,https://www.olympedia.org/athletes/128763,USA
Kim Tae-Yun,https://www.olympedia.org/athletes/128108,KOR
Sven Kramer,https://www.olympedia.org/athletes/109681,NED
Sverre Lunde Pedersen,https://www.olympedia.org/athletes/128237,NOR
Ted-Jan Bloemen,https://www.olympedia.org/athletes/136922,CAN
Nicola Tumolero,https://www.olympedia.org/athletes/137429,ITA
Koen Verweij,https://www.olympedia.org/athletes/128173,NED
Lee Sang-Hwa,https://www.olympedia.org/athletes/110124,KOR
Karolína Erbanová,https://www.olympedia.org/athletes/119682,CZE
Jorien ter Mors,https://www.olympedia.org/athletes/119771,NED
Nao Kodaira,https://www.olympedia.org/athletes/119706,JPN
Marrit Leenstra,https://www.olympedia.org/athletes/128167,NED
Carlijn Achtereekte,https://www.olympedia.org/athletes/137690,NED
Esmee Visser,https://www.olympedia.org/athletes/137693,NED
Nataliya Voronina,https://www.olympedia.org/athletes/137894,ROC
Nana Takagi,https://www.olympedia.org/athletes/128029,JPN
Kim Bo-Reum,https://www.olympedia.org/athletes/128101,KOR
Beat Feuz,https://www.olympedia.org/athletes/128460,SUI
Johan Clarey,https://www.olympedia.org/athletes/118388,FRA
Matthias Mayer,https://www.olympedia.org/athletes/127324,AUT
Žan Kranjec,https://www.olympedia.org/athletes/128415,SLO
Mathieu Faivre,https://www.olympedia.org/athletes/127711,FRA
Clément Noël,https://www.olympedia.org/athletes/137163,FRA
Sebastian Foss Solevaag,https://www.olympedia.org/athletes/128183,NOR
Johannes Strolz,https://www.olympedia.org/athletes/147843,AUT
Aleksander Aamodt Kilde,https://www.olympedia.org/athletes/128181,NOR
Jack Crawford,https://www.olympedia.org/athletes/136816,CAN
Corinne Suter,https://www.olympedia.org/athletes/138017,SUI
Nadia Delago,https://www.olympedia.org/athletes/148466,ITA
Mirjam Puchner,https://www.olympedia.org/athletes/147837,AUT
Lara Gut-Behrami,https://www.olympedia.org/athletes/128454,SUI
Petra Vlhová,https://www.olympedia.org/athletes/128548,SVK
Katharina Liensberger,https://www.olympedia.org/athletes/136698,AUT
Michelle Gisin,https://www.olympedia.org/athletes/128453,SUI
Wendy Holdener,https://www.olympedia.org/athletes/128455,SUI
Tarjei Bø,https://www.olympedia.org/athletes/118590,NOR
Eduard Latypov,https://www.olympedia.org/athletes/148769,ROC
Anton Smolski,https://www.olympedia.org/athletes/136770,BLR
Johannes Thingnes Bø,https://www.olympedia.org/athletes/128188,NOR
Dorothea Wierer,https://www.olympedia.org/athletes/127919,ITA
Elvira Öberg,https://www.olympedia.org/athletes/148988,SWE
Justine Braisaz-Bouchet,https://www.olympedia.org/athletes/137165,FRA
Tiril Eckhoff,https://www.olympedia.org/athletes/128184,NOR
Denise Herrmann,https://www.olympedia.org/athletes/127819,GER
Anaïs Chevalier-Bouchet,https://www.olympedia.org/athletes/127715,FRA
Marte Olsbu Røiseland,https://www.olympedia.org/athletes/137711,NOR
Christine de Bruin,https://www.olympedia.org/athletes/136825,CAN
Federico Pellegrino,https://www.olympedia.org/athletes/127933,ITA
Aleksandr Terentyev,https://www.olympedia.org/athletes/148780,ROC
Ivan Yakimushkin,https://www.olympedia.org/athletes/148781,ROC
Simen Hegstad Krüger,https://www.olympedia.org/athletes/137726,NOR
Aleksandr Bolshunov,https://www.olympedia.org/athletes/137797,ROC
Denis Spitsov,https://www.olympedia.org/athletes/137801,ROC
Iivo Niskanen,https://www.olympedia.org/athletes/127665,FIN
Krista Pärmäkoski,https://www.olympedia.org/athletes/118787,FIN
Kerttu Niskanen,https://www.olympedia.org/athletes/127662,FIN
Therese Johaug,https://www.olympedia.org/athletes/118852,NOR
Nataliya Nepryayeva,https://www.olympedia.org/athletes/137794,ROC
Teresa Stadlober,https://www.olympedia.org/athletes/127336,AUT
Nathan Chen,https://www.olympedia.org/athletes/138305,USA
Shoma Uno,https://www.olympedia.org/athletes/137460,JPN
Anna Shcherbakova,https://www.olympedia.org/athletes/149174,ROC
Aleksandra Trusova,https://www.olympedia.org/athletes/148808,ROC
Walter Wallberg,https://www.olympedia.org/athletes/138177,SWE
Qi Guangpu,https://www.olympedia.org/athletes/119012,CHN
Oleksandr Abramenko,https://www.olympedia.org/athletes/110841,UKR
Ilya Burov,https://www.olympedia.org/athletes/128345,ROC
Ryan Regez,https://www.olympedia.org/athletes/148931,SUI
Sergey Ridzik,https://www.olympedia.org/athletes/137822,ROC
Nico Porteous,https://www.olympedia.org/athletes/137766,NZL
David Wise,https://www.olympedia.org/athletes/128715,USA
Nick Goepper,https://www.olympedia.org/athletes/128711,USA
Jesper Tjäder,https://www.olympedia.org/athletes/128599,SWE
Colby Stevenson,https://www.olympedia.org/athletes/149104,USA
Henrik Harlaut,https://www.olympedia.org/athletes/128597,SWE
Anastasiya Smirnova,https://www.olympedia.org/athletes/148799,ROC
Hanna Huskova,https://www.olympedia.org/athletes/127406,BLR
Megan Nick,https://www.olympedia.org/athletes/149095,USA
Marielle Thompson,https://www.olympedia.org/athletes/127462,CAN
Cassie Sharpe,https://www.olympedia.org/athletes/136847,CAN
Rachael Karker,https://www.olympedia.org/athletes/147945,CAN
Kelly Sildaru,https://www.olympedia.org/athletes/139240,EST
Tess Ledeux,https://www.olympedia.org/athletes/137181,FRA
Johannes Ludwig,https://www.olympedia.org/athletes/137316,GER
Wolfgang Kindl,https://www.olympedia.org/athletes/119464,AUT
Natalie Geisenberger,https://www.olympedia.org/athletes/119444,GER
Anna Berreiter,https://www.olympedia.org/athletes/148429,GER
Tatyana Ivanova,https://www.olympedia.org/athletes/119457,ROC
Vinzenz Geiger,https://www.olympedia.org/athletes/137317,GER
Lukas Greiderer,https://www.olympedia.org/athletes/147868,AUT
Jørgen Graabak,https://www.olympedia.org/athletes/128220,NOR
Akito Watabe,https://www.olympedia.org/athletes/110874,JPN
Konstantin Ivliyev,https://www.olympedia.org/athletes/148871,ROC
Ren Ziwei,https://www.olympedia.org/athletes/136984,CHN
Li Wenlong,https://www.olympedia.org/athletes/148133,CHN
Shaoang Liu,https://www.olympedia.org/athletes/137351,HUN
Semyon Yelistratov,https://www.olympedia.org/athletes/119800,ROC
Kim Boutin,https://www.olympedia.org/athletes/136927,CAN
Hanne Desmet,https://www.olympedia.org/athletes/147886,BEL
Suzanne Schulting,https://www.olympedia.org/athletes/137698,NED
Yan Wengang,https://www.olympedia.org/athletes/148122,CHN
Hannah Neise,https://www.olympedia.org/athletes/2301472,GER
Jackie Narracott,https://www.olympedia.org/athletes/136688,AUS
Kimberley Bos,https://www.olympedia.org/athletes/137688,NED
